"1","4","57 55 26 19 48 32 22 48 51 48 47 49 54 21 58 51 1 18 48 54 41 46 52 51 45 18 48 56 59 46 49 41 45 48 49 46 44 48 60 50 41"
"1","5","43 51 55 51 49 41 55 51 44 48 51 41 48 52 4 60 54 8 53 41 52 48 58 26 2 54 58 51 54 55 43 23"
"1","6","32 46 48 48 37 57 55 16 58 49 41 60 48 59 44 45 41 48 48 46 48 60 60 48 49 49 20 41 60 55 51 29 43 47 3 48"
"2","7","4 4 5 11 6 15 18 13 14 16 14 17 45 19 11 22 20 34 18 15 2 25 10 14 14 24 5 8 15 12 31 15 33 19 3 7 11 9 33 19 12 17 29 13 2 17 33 7 21 7 20 36 18 20 2 8 34 13 6 6 19 13 4 4 12 8 5 24 19 13 10 19 8 8 18 19 19 1 20 1 10 18 2 10 2 6 18 12 24 19 4 5 15 2 20 13 20 2 13 3"
"3","10","14 8 17 16 11 11 4 3 4 8 2 7 6 4 6 6 18 9 8 1 1 5 3 9 15 20 9 5 17 9 11 2 18 5 6 6 3 15 19 10 17 5 10 27 18 19 4 11 14 36 15 9 16 6 12 10 43 7 8 20 17 15 1 14 19 7 33 3 14 20 1 12 11 9 16 11 14 18 13 19 13 1 10 17 39 13 7 11 6 20 1 17 13 19 13 2 1 8 13 6"
"4","5","52 49 59 48 12 52 48 42 57 48 4 36 49 45 57 56 41 44 41 60 48 48 52 54 60 50 48 55 46 45 59 60 46 51 49 52 46 59 13 52 59 59 44 45 47 55 48 44 60 56 41 49 42 45 48 45 45 43"
"5","6","48 51 4 49 60 54 46 58 48 49 19 49 41 8 52 48 54 31 51 47 51"
"5","8","60 25 46 52 50 58 45 52 52 48 48 45 38 39 23 47 36 52 48 58 46 56 48"
"6","8","49 57 59 44 41 43 55 15 48 49 2 52 19 59 43 45 7 52 54 51 4 48 57 8 19 46 50 57 60 60 49 50 52 49 52 60 48 45 45"
"7","9","2 1 16 14 2 18 16 11 6 18 45 18 10 10 12 19 20 16 4 25 6 13 9 2 1 3 17 4 17 3 8 17 14 18 2 18 8 18 11"
"7","10","3 20 14 5 14 10 14 14 9 1 12 10 13 6 20 7 7 20 13 20 11 17 3 7 15 15 17 37 11 17 17 19 12 11"
